,precision,recall,f1-score,support
背景,0.9966386554621849,0.9983164983164983,0.9974768713204374,594.0
无人机,0.998330550918197,0.9966666666666667,0.9974979149291076,600.0
accuracy,0.9974874371859297,0.9974874371859297,0.9974874371859297,0.9974874371859297
macro avg,0.9974846031901909,0.9974915824915824,0.9974873931247725,1194.0
weighted avg,0.9974888541837991,0.9974874371859297,0.997487445998161,1194.0
